target_formula,precursor_formulas
Bi2Ru2O7,"[['Bi2O3', 'RuO2'], ['Bi2O3', 'RuO2'], ['Bi2O3', 'RuO2']]"
Bi2S3,"[['Bi', 'S'], ['Bi', 'S'], ['Bi', 'S']]"
Bi2SbSr2Ca2Cu3O10,"[['SrCO3', 'Bi2O3', 'CuO', 'CaCO3', 'Sb2O3']]"
Bi2SbVO7,"[['Bi2O3', 'V2O5', 'Sb2O3'], ['Bi2O3', 'V2O5', 'Sb2O3']]"
Bi2ScNbO7,"[['Nb2O5', 'Bi2O3', 'Sc2O3']]"
Bi2SiO5,"[['SiO2', 'Bi2O3'], ['SiO2', 'Bi2O3']]"
Bi2Sn2O7,"[['SnO2', 'Bi2O3'], ['SnO2', 'Bi2O3']]"
Bi2Sr1.4La0.6Nb2MnO12,"[['SrCO3', 'La2O3', 'Bi2O3', 'Nb2O5', 'Mn2O3']]"
Bi2Sr1.5Ba0.5Nb2TiO12,"[['SrCO3', 'Bi2O3', 'Nb2O5', 'TiO2', 'BaCO3']]"
Bi2Sr1.5Ca0.5Nb2TiO12,"[['SrCO3', 'Bi2O3', 'CaCO3', 'Nb2O5', 'TiO2']]"
Bi2Sr2Ca1Cu2O,"[['SrCO3', 'Bi2O3', 'CuO', 'CaCO3']]"
Bi2Sr2Ca2Cu3O,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'Bi2O3', 'CuO', 'CaCO3']]"
Bi2Sr2Ca2Cu3O10,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'Bi2O3', 'CuO', 'CaCO3']]"
Bi2Sr2CaCu2O,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'Bi2O3', 'CuO', 'CaCO3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3']]"
Bi2Sr2CaCu2O8,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'Bi2O3', 'CuO', 'CaCO3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'Bi2O3', 'CuO', 'CaCO3'], ['Bi(NO3)3', 'CaCO3', 'Sr(NO3)2', 'Cu2O'], ['SrCO3', 'Bi2O3', 'CuO', 'CaCO3']]"
Bi2Sr2CaCu3O,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3'], ['SrCO3', 'CaCO3', 'CuO', 'Bi2O3']]"
Bi2Sr2Co1.8O,"[['SrCO3', 'Bi2O3', 'Co2O3']]"
Bi2Sr2CoO6,"[['SrCO3', 'Bi2O3', 'Co3O4'], ['SrCO3', 'Bi2O3', 'Co2O3']]"
Bi2Sr2Nb2RuO12,"[['SrCO3', 'Bi2O3', 'Nb2O5', 'RuO2']]"
Bi2Sr2Nb2TiO12,"[['SrCO3', 'Bi2O3', 'Nb2O5', 'TiO2']]"
Bi2Sr2O5,"[['Bi2O3', 'SrO']]"
Bi2SrBaNb2TiO12,"[['SrCO3', 'Bi2O3', 'Nb2O5', 'TiO2', 'BaCO3']]"
Bi2SrCaNb2TiO12,"[['SrCO3', 'Bi2O3', 'CaCO3', 'Nb2O5', 'TiO2']]"
Bi2SrNa2Nb4O15,"[['Bi2SrNa2Nb4O9'], ['Bi2SrNb2O9', 'NaNbO3']]"
Bi2SrNaNb2RuO12,"[['SrCO3', 'Bi2O3', 'Na2CO3', 'Nb2O5', 'RuO2']]"
Bi2SrNaNb3O12,"[['Bi2SrNb2O9', 'NaNbO3'], ['NaNbO3', 'Bi2SrNb2O9']]"
Bi2SrO4,"[['Bi2O3', 'SrO']]"
Bi2SrTa2O9,"[['SrCO3', 'Ta2O5', 'Bi2O3']]"
Bi2SrV2O9,"[['SrCO3', '(NH4)2VO3', 'Bi2(CO3)3']]"
Bi2Te2.85Se0.15,"[['Se', 'Bi', 'Te']]"
Bi2Te2Se1,"[['Se', 'Bi', 'Te']]"
Bi2Te3,"[['Bi', 'Te'], ['Bi', 'Te'], ['Bi', 'Te'], ['Bi', 'Te'], ['Bi', 'Te'], ['Bi', 'Te'], ['Te', 'Bi']]"
Bi2Te6SrO16,"[['SrCO3', 'Bi2O3', 'TeO2']]"
Bi2TeO5,"[['Bi2O3', 'TeO2'], ['Bi2O3', 'TeO2'], ['TeO3', 'Bi2O3'], ['Bi2O3', 'TeO2']]"
Bi2TeO6,"[['H6TeO6', 'Bi2O3']]"
Bi2Ti2O7,"[['Bi4Ti3O12', 'Bi2Ti4O11']]"
Bi2Ti4O11,"[['TiO2', 'Bi2O3']]"
Bi2V0.75Sb0.25O5.4,"[['Sb2O3', 'Bi2O3', 'V2O5']]"
Bi2V0.98Bi0.02O,"[['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3']]"
Bi2V0.9Cu0.1O5.35,"[['CuO', 'V2O5', 'Bi2O3'], ['CuO', 'V2O5', 'Bi2O3']]"
Bi2V0.9Ni0.1O5.35,"[['NiO', 'V2O5', 'Bi2O3']]"
Bi2VO5,"[['Bi2O3', 'VO2'], ['Bi2O3', 'VO2']]"
Bi2W2O9,"[['Bi2O3', 'WO3'], ['WO3', 'Bi2O3'], ['WO3', 'Bi2O3'], ['WO3', 'Bi2O3'], ['WO3', 'Bi2O3'], ['Bi2O3', 'WO3']]"
Bi2WO6,"[['Bi2O3', 'WO3'], ['WO3', 'Bi2O3'], ['WO3', 'Bi2O3'], ['WO3', 'Bi2O3'], ['WO3', 'Bi2O3'], ['WO3', 'Bi2O3'], ['Bi2O3', 'WO3']]"
Bi2YTaO7,"[['Ta2O5', 'Bi2O3', 'Y2O3']]"
Bi2ZnB2O7,"[['Bi2O3', 'B(OH)3', 'ZnO']]"
Bi2ZnOB2O6,"[['Bi2O3', 'ZnO', 'H3BO3'], ['Bi2O3', 'ZnO', 'H3BO3']]"
Bi3.15Nd0.85Ti3O12,"[['TiO2', 'Nd2O3', 'Bi2O3']]"
Bi3.25La0.75Ti3O12,"[['TiO2', 'La2O3', 'Bi2O3'], ['TiO2', 'La2O3', 'Bi2O3'], ['La2O3', 'Bi2O3', 'TiO2'], ['Bi2O3', 'La2O3', 'TiO2'], ['TiO2', 'La2O3', 'Bi2O3'], ['TiO2', 'La2O3', 'Bi2O3']]"
Bi3.25Nd0.75Ti3O12,"[['Bi2O3', 'Nd2O3', 'TiO2']]"
Bi3.40Sm0.70Ti3O12,"[['TiO2', 'Sm2O3', 'Bi2O3']]"
Bi3.63Pr0.3Ti3O12,"[['TiO2', 'Pr6O11', 'Bi2O3']]"
Bi3.63Sm0.70Ti3O12,"[['TiO2', 'Sm2O3', 'Bi2O3']]"
Bi3.6Ho0.4Ti3O12,"[['Bi2O3', 'Ho2O3', 'TiO2']]"
Bi3.74Nd0.26Ti2.98V0.02O12.01,"[['Bi2O3', 'Nd2O3', 'V2O5', 'TiO2']]"
Bi3.87V2O10.4,"[['V2O5', 'Bi2O3']]"
Bi3.99Ti2.97V0.03O12,"[['TiO2', 'V2O5', 'Bi2O3']]"
Bi31Cr5O61.5,"[['Cr2O3', 'Bi2O3']]"
Bi38Mo7,"[['Bi2O3', 'Mo', 'MoO3']]"
Bi38ZnO58,"[['Bi2O3', 'ZnO']]"
Bi3Fe0.5Nb1.5O9,"[['Nb2O5', 'Bi2O3', 'Fe2O3']]"
Bi3In4S10,"[['In2S3', 'Bi', 'Bi2S3']]"
Bi3Nb0.8Ti1.2O9,"[['TiO2', 'Nb2O5', 'Bi2O3']]"
Bi3Nb0.8W0.2O7.1,"[['WO3', 'Nb2O5', 'Bi2O3']]"
Bi3Nb1.2Ti0.8O9,"[['TiO2', 'Nb2O5', 'Bi2O3']]"
Bi3NbO7,"[['Bi2O3', 'Nb2O5'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3']]"
Bi3NbTiO9,"[['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3']]"
Bi3O4Cl,"[['BiOCl', 'Bi2O3']]"
Bi3Pb2Nb2O11Cl,"[['PbO', 'Nb2O5', 'BiOCl', 'Bi2O3']]"
Bi3ReO8,"[['Bi2O3', 'NH4ReO4']]"
Bi3SbO7,"[['Sb2O3', 'Bi2O3'], ['Sb2O3', 'Bi2O3']]"
Bi3Sr2Ca2Cu3O10,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3']]"
Bi3TaO7,"[['Ta2O5', 'Bi2O3'], ['Ta2O5', 'Bi2O3']]"
Bi3Te4O10Cl5,"[['BiOCl', 'TeCl4', 'TeO2'], ['BiOCl', 'TeCl4', 'TeO2']]"
Bi3Ti1.5W0.5O9,"[['TiO2', 'WO3', 'Bi2O3'], ['TiO2', 'WO3', 'Bi2O3']]"
Bi3TiNbO9,"[['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3']]"
Bi3YO6,"[['Bi2O3', 'Y2O3']]"
Bi4(Cu0.05Ti0.05V0.90)2O11,"[['Bi2O3', 'CuO', 'V2O5', 'TiO2']]"
Bi4(SiO4)3,"[['SiO2', 'Bi(NO3)3'], ['SiO2', 'Bi(NO3)3'], ['SiO2', 'Bi2O3'], ['SiO2', 'Bi2O3']]"
Bi4(TiO4)3,"[['TiO2', 'Bi2O3']]"
Bi4.6Ca1.1VO10.5,"[['CaCO3', 'Bi2O3', 'NH4VO3']]"
Bi46V8O89,"[['V2O5', 'Bi2O3'], ['Bi2O3', 'V2O5']]"
Bi4Fe5O13F,"[['Bi2O3', 'BiF3', 'Fe2O3']]"
Bi4Ge3O12,"[['GeO2', 'Bi2O3'], ['GeO2', 'Bi2O3'], ['Bi2O3', 'GeO2'], ['GeO2', 'Bi2O3'], ['GeO2', 'Bi2O3'], ['Bi(NO3)3', 'GeO2'], ['Bi(NO3)3', 'GeO2'], ['GeO2', 'Bi2O3']]"
Bi4NbO8.5,"[['Nb2O5', 'Bi2O3']]"
Bi4NbO8Cl,"[['Nb2O5', 'BiOCl', 'Bi2O3']]"
Bi4O4S3,"[['Bi', 'S']]"
Bi4PbNb2WO15,"[['Bi2O3', 'Nb2O5', 'WO3', 'Pb(NO3)2']]"
Bi4Si3O12,"[['SiO2', 'Bi2O3'], ['Bi2O3', 'SiO2'], ['Bi2O3', 'SiO2']]"
Bi4Sr14Fe24O56,"[['Bi2O3', 'SrO', 'Fe2O3']]"
Bi4Sr2Ti5O18,"[['TiO2', 'SrCO3', 'Bi2O3']]"
Bi4Sr3Ca3Cu6O,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3']]"
Bi4SrTi4O15,"[['TiO2', 'SrCO3', 'Bi2O3']]"
Bi4TaO8I,"[['Ta2O5', 'Bi2O3', 'BiOI'], ['BiOI', 'Ta2O5', 'Bi2O3']]"
Bi4Ti2.98Nb0.02O12,"[['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3'], ['TiO2', 'Nb2O5', 'Bi2O3']]"
Bi4Ti2Fe0.5Nb0.5O12,"[['TiO2', 'Nb2O5', 'Bi2O3', 'Fe2O3']]"
Bi4Ti3O12,"[['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['Bi2O3', 'TiO2'], ['TiO2', 'Bi2O3'], ['Bi2O3', 'TiO2'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['Bi2O3', 'TiO2'], ['TiO2', 'Bi2O3'], ['Bi2O3', 'TiO2'], ['Bi2O3', 'TiO2'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3'], ['Bi2O3', 'TiO2'], ['Bi2O3', 'TiO2'], ['Bi2O3', 'TiO2'], ['Bi2O3', 'TiO2'], ['TiO', 'Bi2O3']]"
Bi4Ti3O3,"[['TiO2', 'Bi2O3'], ['TiO2', 'Bi2O3']]"
Bi4Ti3O4,"[['Bi2O3', 'TiO2']]"
Bi4Ti3W0.05O12.15,"[['TiO2', 'WO3', 'Bi2O3'], ['TiO2', 'WO3', 'Bi2O3'], ['Bi2O3', 'WO3', 'TiO2']]"
Bi4V1.6Al0.4O11,"[['Bi2O3', 'Al2O3', 'V2O5']]"
Bi4V1.6Ga0.4O11,"[['Bi2O3', 'V2O5', 'Ga2O3']]"
Bi4V1.8Al0.2O11,"[['Bi2O3', 'Al2O3', 'V2O5']]"
Bi4V2O11,"[['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['Bi2O3', 'V2O5'], ['Bi2O3', 'V2O5']]"
Bi5(AlCl4)3,"[['Bi', 'AlCl3', 'BiCl3']]"
Bi50V4O85,"[['V2O5', 'Bi2O3']]"
Bi5AgNb4O18,"[['Ag2O', 'Nb2O5', 'Bi2O3']]"
Bi5FeTi3O15,"[['TiO2', 'Bi2O3', 'Fe2O3'], ['TiO2', 'Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3', 'TiO2'], ['TiO2', 'Bi2O3', 'Fe2O3']]"
Bi5Nb3O15,"[['Nb2O5', 'Bi2O3'], ['Bi2O3', 'Nb2O5'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3']]"
Bi5PbTi3O14Cl,"[['TiO2', 'BiOCl', 'Bi2O3', 'PbO'], ['TiO2', 'BiOCl', 'Bi2O3', 'PbO']]"
Bi5Ti1.5W1.5O15,"[['TiO2', 'WO3', 'Bi2O3']]"
Bi5Ti3CrO15,"[['TiO2', 'Cr2O3', 'Bi2O3']]"
Bi5Ti3FeO15,"[['TiO2', 'Bi2O3', 'Fe2O3']]"
Bi5TiTaWO15,"[['Ta2O5', 'Bi2O3', 'WO3', 'TiO2']]"
Bi6Ca4O13,"[['CaCO3', 'Bi2O3'], ['CaCO3', 'Bi2O3'], ['CaCO3', 'Bi2O3'], ['CaCO3', 'Bi2O3']]"
Bi6Fe2Ti3O18,"[['TiO2', 'Bi2O3', 'Fe2O3'], ['TiO2', 'Bi2O3', 'Fe2O3']]"
Bi6FeCrTi3O18,"[['TiO2', 'Cr2O3', 'Bi2O3', 'Fe2O3']]"
Bi6Mo2O15,"[['Bi2O3', 'MoO3']]"
Bi6NaO7.5Cl4,"[['BiOCl', 'Bi2O3', 'Na2CO3']]"
Bi6PbP2O15,"[['Bi2O3', 'PbO', 'NH4H2PO4']]"
Bi6Ti5WO22,"[['Bi2O3', 'WO3', 'TiO2'], ['TiO2', 'WO3', 'Bi2O3']]"
Bi6ZnP2O15,"[['Bi2O3', 'ZnO', '(NH4)H2PO4']]"
Bi7Ti4NbO21,"[['TiO2', 'Nb2O5', 'Bi2O3']]"
Bi80Sb20,"[['Bi', 'Sb']]"
Bi85Sb15,"[['Bi', 'Sb'], ['Bi', 'Sb']]"
Bi8La10O27,"[['Bi2O3', 'La2O3']]"
Bi8Mo3O21,"[['Bi2O3', 'MoO3']]"
Bi8Nb2O17,"[['Bi2O3', 'Nb2O5']]"
Bi8O11(SO4),"[['(NH4)2SO4', 'Bi2O3']]"
Bi9ReO17,"[['Bi2O3', 'NH4ReO4']]"
BiCd2AsO6,"[['CdO', 'Bi2O3', 'As2O5']]"
BiCd3(AlO)3(BO3)4,"[['CdO', 'Bi2O3', 'Al(OH)3', 'B2O3']]"
BiCoPO5,"[['CoO', 'Bi2O3', 'NH4H2PO4']]"
BiCrO3,"[['Bi2O3', 'Cr2O3'], ['Cr2O3', 'Bi2O3'], ['Cr2O3', 'Bi2O3']]"
BiCu2PO6,"[['CuO', 'Bi2O3', 'NH4H2PO4']]"
BiCu2VO6,"[['Bi2O3', 'CuO', 'NH4VO3'], ['CuO', 'Bi2O3', 'NH4VO3'], ['CuO', 'Bi2O3', 'NH4VO3']]"
BiCu3Fe4O12,"[['CuO', 'Bi2O3', 'Fe2O3']]"
BiCuVO,"[['CuO', 'V2O5', 'Bi2O3'], ['Bi2O3', 'CuO', 'V2O5'], ['CuO', 'V2O5', 'Bi2O3']]"
BiEuO3,"[['Bi2O3', 'Eu2O3']]"
BiFe0.5Mn0.5O3,"[['Mn2O3', 'Bi2O3', 'Fe2O3']]"
BiFe0.5Sc0.5O3,"[['Sc2O3', 'Bi2O3', 'Fe2O3']]"
BiFe0.7Mn0.3O3,"[['Bi', 'Mn2O3', 'Fe2O3'], ['Mn2O3', 'Bi2O3', 'Fe2O3'], ['Bi2O3', 'Mn(NO3)2', 'Fe2O3']]"
BiFe0.9Ti0.1O3,"[['TiO2', 'Bi2O3', 'Fe2O3'], ['TiO2', 'Fe2O3', 'Bi2O3'], ['TiO2', 'Fe2O3', 'Bi2O3']]"
BiFeO3,"[['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi(NO3)3', 'Fe(NO3)3'], ['Bi(NO3)3', 'Fe(NO3)3'], ['Fe2O3', 'Bi2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi(NO3)3', 'Fe(NO3)3'], ['Bi2O3', 'Fe2O3'], ['Bi(NO3)3', 'Fe(NO3)3'], ['Bi2O3', 'Fe2O3'], ['BiFeO'], ['Bi(NO3)3', 'Fe(NO3)3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Fe2O3', 'Bi2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['FeC2O4', 'Fe2(C2O4)3', 'Bi2O3'], ['Bi2O3', 'Fe2O3'], ['Fe2O3', 'Bi2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Fe2O3', 'Bi2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Bi2O3', 'Fe2O3'], ['Fe2O3', 'Bi2O3']]"
BiGdO3,"[['Bi2O3', 'Gd2O3']]"
BiLuWO6,"[['Bi2O3', 'Lu2O3', 'WO3']]"
BiMgVO5,"[['MgO', 'Bi2O3', 'NH4VO3']]"
BiMn0.9Fe2.1O6,"[['Mn2O3', 'Bi2O3', 'Fe2O3']]"
BiMn1.1Fe1.9O6,"[['Mn2O3', 'Bi2O3', 'Fe2O3']]"
BiMn2O5,"[['Mn2O3', 'Bi2O3'], ['Bi2O3', 'Mn2O3'], ['Bi2O3', 'MnO2']]"
BiMn2PO6,"[['MnO', 'Bi2O3', 'NH4H2PO4']]"
BiMn7O12,"[['Mn2O3', 'Bi2O3']]"
BiMnFe2O6,"[['Mn2O3', 'Bi2O3', 'Fe2O3'], ['Mn2O3', 'Bi2O3', 'Fe2O3'], ['Mn2O3', 'Bi2O3', 'Fe2O3']]"
BiMnO3,"[['Mn2O3', 'Bi2O3'], ['Mn2O3', 'Bi2O3']]"
BiMnPO5,"[['MnO', 'Bi2O3', 'NH4H2PO4']]"
BiNbO4,"[['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Bi2O3', 'Nb2O5'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3'], ['Nb2O5', 'Bi2O3']]"
BiNiO3,"[['Bi2O3', 'Ni']]"
BiNiPO5,"[['NiO', 'Bi2O3', 'NH4H2PO4']]"
BiOCuS,"[['Bi2S3', 'Bi2O3', 'Cu2S3']]"
BiPb2VO6,"[['PbO', 'Bi2O3', 'NH4VO3']]"
BiPbRu2O7,"[['Bi2O3', 'Pb(NO3)2', 'RuO2']]"
BiSbO4,"[['Sb2O3', 'Bi2O3'], ['Sb2O3', 'Bi2O3']]"
BiSbTe3,"[['Bi', 'Sb', 'Te'], ['Bi', 'Sb', 'Te']]"
BiScO3,"[['Bi2O3', 'Sc2O3'], ['Bi2O3', 'Sc2O3'], ['Bi2O3', 'Sc2O3']]"
BiSeO3Cl,"[['BiOCl', 'SeO2']]"
BiSr2Ca3.3Cu5.3O23,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3']]"
BiSrCaCuO,"[['SrCO3', 'CaCO3', 'CuO', 'Bi2O3']]"
BiTaO4,"[['Ta2O5', 'Bi(NO3)3'], ['Bi2O3', 'Ta2O5'], ['Ta2O5', 'Bi2O3'], ['Ta2O5', 'Bi2O3'], ['Ta2O5', 'Bi2O3']]"
BiV,"[['Bi(NO3)3', 'NH4VO3']]"
BiV0.98Mo0.02O4,"[['V2O5', 'Bi2O3', 'MoO3'], ['V2O5', 'Bi2O3', 'MoO3']]"
BiVO4,"[['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['Bi2O3', 'NH4VO3'], ['Bi2O3', 'V2O5'], ['V2O5', 'Bi2O3'], ['Bi2O3', 'NH4VO3'], ['V2O5', 'Bi2O3'], ['Bi2O3', 'NH4VO3'], ['Bi2O3', 'V2O5'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3'], ['V2O5', 'Bi2O3']]"
BiY0.65,"[['Bi2O3', 'Y2O3'], ['Bi2O3', 'Y2O3']]"
BiZn2PO6,"[['Bi2O3', 'ZnO', 'NH4H2PO4']]"
Ca((Li0.33Nb0.67)0.9Ti0.1)O3,"[['TiO2', 'Nb2O5', 'Li2CO3', 'CaCO3']]"
Ca(PO3)2,"[['CaCO3', '(NH4)2HPO4'], ['CaCO3', '(NH4)2HPO4'], ['Ca(H2PO4)2'], ['Ca(H2PO4)2']]"
Ca(VO)2(PO4)2,"[['CaCO3', '(NH4)2HPO4', 'VO2']]"
Ca0.25Cu0.75Ti0.99Fe0.01O2.995,"[['CuO', 'CaCO3', 'Fe2O3', 'TiO2']]"
Ca0.25Cu0.75Ti0.99Nb0.01O3.005,"[['CuO', 'CaCO3', 'Nb2O5', 'TiO2']]"
Ca0.25Cu0.75TiO3,"[['TiO2', 'CaCO3', 'CuO'], ['TiO2', 'CaCO3', 'CuO'], ['CuO', 'CaCO3', 'TiO2']]"
Ca0.29Y1.71Zr1.71Ta0.29O7,"[['Ta2O5', 'Y2O3', 'CaCO3', 'ZrO2']]"
Ca0.4Y1.6Zr1.6Ta0.4O7,"[['Ta2O5', 'Y2O3', 'CaCO3', 'ZrO2']]"
Ca0.57Sr0.43TiO3,"[['SrCO3', 'CaCO3', 'TiO2']]"
Ca0.5Bi3V2O10,"[['V2O5', 'CaCO3', 'Bi2O3']]"
Ca0.5Sr0.5Mn0.8Fe0.2O3,"[['SrCO3', 'CaCO3', 'Fe3O4', 'Mn2O3']]"
Ca0.5Sr0.5TiO3,"[['SrCO3', 'CaCO3', 'TiO2']]"
Ca0.61Nd0.26TiO3,"[['Nd2O3', 'CaCO3', 'TiO2'], ['TiO2', 'Nd2O3', 'CaCO3']]"
Ca0.67Y1.33Zr1.33Ta0.67O7,"[['Ta2O5', 'Y2O3', 'CaCO3', 'ZrO2']]"
Ca0.6La0.267TiO3,"[['La2O3', 'CaCO3', 'TiO2']]"
Ca0.75Mg2.25(PO4)2,"[['(NH4)2HPO4', 'CaCO3', 'Mg(OH)2']]"
Ca0.7Ti0.7La0.3Al0.3O3,"[['TiO2', 'CaCO3', 'La2O3', 'Al2O3'], ['TiO2', 'CaCO3', 'La2O3', 'Al2O3']]"
Ca0.82(Cu0.65Co0.35O2),"[['CuO', 'CaO', 'Co3O4']]"
Ca0.83CuO2,"[['CuO', 'CaCO3']]"
Ca0.85CuO2,"[['CuO', 'CaCO3'], ['CuO', 'CaCO3']]"
Ca0.85Eu0.15MnO3,"[['CaO', 'Eu2O3', 'MnO2']]"
Ca0.85Nd0.10TiO3,"[['TiO2', 'Nd2O3', 'CaCO3']]"
Ca0.8Nd0.2ZrTi1.8Al0.2O7,"[['Al2O3', 'Nd2O3', 'CaCO3', 'TiO2', 'ZrO2']]"
Ca0.8Si8.8Al3.2O1.6N14.4,"[['Al2O3', 'AlN', 'Si3N4', 'CaCO3'], ['Al2O3', 'AlN', 'Si3N4', 'CaCO3']]"
Ca0.8Sr0.2TiO3,"[['SrCO3', 'CaCO3', 'TiO2']]"
Ca0.90Li0.2Cu3Ti4O12,"[['Li2CO3', 'CuO', 'CaCO3', 'TiO2']]"
Ca0.925Eu0.05WO4,"[['WO3', 'CaCO3', 'Eu2O3']]"
Ca0.95Sm0.05MnO3,"[['Sm2O3', 'CaCO3', 'MnO2']]"
Ca0.98Sm0.02Nb2O6,"[['Nb2O5', 'CaCO3', 'Sm2O3']]"
Ca0.993Yb0.007Si9Al3O1N15,"[['AlN', 'CaO', 'Yb2O3', 'Si3N4']]"
Ca0.9Ce0.1MnO3,"[['CaCO3', 'CeO2', 'MnO2']]"
Ca0.9Cu2.1O3,"[['CuO', 'CaCO3'], ['CuO', 'CaCO3']]"
Ca0.9Yb0.1MnO3,"[['Ca(NO3)2', 'Yb(NO3)3', 'Mn(NO3)2']]"
Ca1.29Bi0.14VO4,"[['V2O5', 'CaCO3', 'Bi2O3']]"
